GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
51099102,1,Passapatanzy Voting District,King George,2301,1858,276,70,17,12,68,975,456,503
51099301,1,Dahlgren Voting District,King George,4725,3146,1100,219,88,30,142,1952,939,995
51101301,1,Aylett Voting District,King William,3394,2876,315,56,31,48,68,1663,544,1102
51101201,1,Sweet Hall Voting District,King William,1090,833,201,12,2,21,21,657,243,406
51101202,1,Courthouse Voting District,King William,2272,1364,677,53,9,96,73,1145,595,547
51101101,1,West Point Voting District,King William,3127,2369,496,118,60,13,71,1533,596,927
51101401,1,Manquin Voting District,King William,2994,2391,455,54,11,28,55,1609,559,1035
51101501,1,Mangohick Voting District,King William,3058,2274,662,31,8,17,66,1764,807,949
51103101,1,Precinct 1-1,Lancaster,2413,1770,555,48,5,2,33,1441,630,801
51103302,1,Precinct 3-2,Lancaster,734,663,58,8,1,0,4,515,167,343
51103201,1,Precinct 2-1,Lancaster,2066,901,1119,10,23,4,9,1165,736,426
51103501,1,Precinct 5-1,Lancaster,1922,1754,125,16,3,4,20,1418,473,934
51103301,1,Precinct 3-1,Lancaster,1504,1350,118,13,11,4,8,985,337,635
51103401,1,Precinct 4-1,Lancaster,2752,1487,1191,23,22,2,27,1407,892,508
51105201,9,Blackwater Voting District,Lee,544,538,1,3,0,0,2,170,76,90
51105404,9,Dryden Voting District,Lee,1976,1932,8,9,9,2,16,725,258,451
51105503,9,East Pennington Gap Voting District,Lee,1643,1590,8,21,2,3,19,616,219,387
51105505,9,Keokee Voting District,Lee,543,536,2,3,0,0,2,207,114,89
51105101,9,Elydale Voting District,Lee,1318,1287,0,10,3,4,14,526,168,353
51105302,9,West Pennington Gap Voting District,Lee,1492,1403,45,20,6,7,11,449,158,284
51105501,9,Saint Charles Voting District,Lee,684,677,0,2,1,1,3,244,155,85
51105203,9,North Jonesville Voting District,Lee,1322,1297,1,16,2,1,5,534,170,356
51105301,9,Ben Hur Voting District,Lee,2206,2179,10,5,2,0,10,837,255,568
51105103,9,Rose Hill Voting District,Lee,2167,2140,0,15,1,2,9,870,291,564
51105402,9,Jasper Voting District,Lee,761,738,1,5,4,0,13,281,114,164
51105504,9,Robbins Chapel Voting District,Lee,298,289,4,0,0,1,4,138,47,85
51105502,9,Stone Creek Voting District,Lee,788,777,1,3,1,0,6,207,105,96
51105202,9,Flatwoods Voting District,Lee,1841,1804,9,9,0,3,16,718,201,505
